"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
6.74190995639987e-31	0.706476115769925	0.063	0.014	2.63912065243273e-26	"0"	"ADGRE1"
7.97879494737888e-31	0.265764293424229	0.807	0.707	3.12329928215146e-26	"0"	"GABARAP"
8.48335345443043e-31	0.125258923105021	1	0.999	3.32080870973679e-26	"0"	"HLA-C"
1.01460641479035e-30	0.469937741796381	0.395	0.258	3.97167681069682e-26	"0"	"ARID5A"
1.29407438317659e-30	0.595431358598298	0.236	0.127	5.06565417294476e-26	"0"	"CECR1"
1.57580098300241e-30	0.363648591700498	0.608	0.475	6.16847294796294e-26	"0"	"LBH"
1.60899308343171e-30	0.535756417784389	0.458	0.329	6.29840342509344e-26	"0"	"MAP3K8"
1.91464810171316e-30	0.644814275639431	0.2	0.101	7.49488999415618e-26	"0"	"ZEB1"
2.12103340362171e-30	0.459377469283453	0.42	0.284	8.30278525847719e-26	"0"	"IL2RB"
2.16598164999396e-30	0.402885441193629	0.517	0.376	8.47873516890135e-26	"0"	"ARHGAP9"
3.449011773385e-30	0.432432378647529	0.432	0.3	1.35011565869156e-25	"0"	"RAB11B"
3.59278178752925e-30	0.533528197447112	0.343	0.219	1.40639443072832e-25	"0"	"ANKRD10"
3.97913130117087e-30	0.218285762919921	0.87	0.801	1.55763094784334e-25	"0"	"PPIB"
4.89163365858587e-30	0.68814143024361	0.054	0.01	1.91482999565344e-25	"0"	"FXYD6-FXYD2"
5.41104145795374e-30	0.220502590774846	0.888	0.797	2.11815217871599e-25	"0"	"ATP5G2"
5.98444320461012e-30	0.508083524710134	0.357	0.228	2.34261029244463e-25	"0"	"IFI6"
7.38678598281902e-30	0.62596636638607	0.23	0.125	2.89155737297451e-25	"0"	"STAMBP"
7.42817921128807e-30	0.402548865049245	0.487	0.35	2.90776075225871e-25	"0"	"POLD4"
7.66585566808914e-30	0.24769993222215	0.769	0.638	3.00079920127349e-25	"0"	"MT2A"
7.81448518510775e-30	0.616286177320533	0.224	0.119	3.05898022571043e-25	"0"	"UBASH3A"
1.02876498420763e-29	0.147345223355731	0.986	0.981	4.02710053068076e-25	"0"	"SERF2"
1.04914807328508e-29	0.757834656304551	0.05	0.009	4.10689013287445e-25	"0"	"AC068196.1"
1.06569487885167e-29	0.653209182167392	0.197	0.1	4.17166260326485e-25	"0"	"TFPT"
1.2563420088806e-29	0.666306764733442	0.162	0.074	4.91795079376311e-25	"0"	"DZIP3"
1.55244229228538e-29	0.661066257799545	0.139	0.058	6.0770353531511e-25	"0"	"CTDP1"
1.6020143358293e-29	0.646925682851498	0.178	0.085	6.27108511760379e-25	"0"	"GPR137B"
1.69082604592147e-29	0.128549538364953	0.962	0.908	6.61873855675959e-25	"0"	"UBB"
2.06173907326156e-29	0.733753073340991	0.079	0.023	8.07067760228237e-25	"0"	"SLC16A11"
2.15792764380874e-29	0.310210364674574	0.661	0.536	8.4472077616893e-25	"0"	"TSPO"
2.21687008302384e-29	0.69197649188063	0.056	0.012	8.67793793999681e-25	"0"	"BTNL8"
2.36039194243825e-29	0.648110988608987	0.064	0.015	9.23975425867453e-25	"0"	"PIP5K1B"
2.54517310559662e-29	0.415675636653036	0.425	0.29	9.96308012185798e-25	"0"	"RER1"
2.56588582274105e-29	0.490410579270807	0.371	0.245	1.00441600531199e-24	"0"	"DARS"
2.62381542068766e-29	0.409656184037963	0.486	0.356	1.02709254642819e-24	"0"	"POLR2G"
2.65480133283191e-29	0.36492991348661	0.636	0.51	1.03922198173705e-24	"0"	"LAT"
