""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"HERC21"	8.893381045621e-33	0.27745932662552	0.329	0.13	3.48131401030834e-28	"17"	"HERC2"
"TUFM"	9.22845550997586e-33	0.35270124599704	0.808	0.474	3.61247890938005e-28	"17"	"TUFM"
"CCT42"	1.53989213930266e-32	0.335158963890373	0.797	0.466	6.02790777930026e-28	"17"	"CCT4"
"SLAMF74"	1.78260395146934e-32	0.299104175507662	0.262	0.096	6.97800316802674e-28	"17"	"SLAMF7"
"CTSW5"	1.90454619006229e-32	0.297555739221822	0.66	0.36	7.45534606099885e-28	"17"	"CTSW"
"C16orf13"	1.95139265937454e-32	0.285836746156488	0.635	0.316	7.63872656512165e-28	"17"	"C16orf13"
"HLA-DRB53"	2.19415770970201e-32	0.420412610795917	0.723	0.491	8.5890303546285e-28	"17"	"HLA-DRB5"
"FLYWCH21"	2.35229109515901e-32	0.34510430212353	0.298	0.115	9.20804349199993e-28	"17"	"FLYWCH2"
"ID36"	2.49852972807348e-32	0.30600556737006	0.3	0.12	9.78049462054364e-28	"17"	"ID3"
"C2CD51"	2.76706959056923e-32	0.350298147003616	0.192	0.062	1.08316939122832e-27	"17"	"C2CD5"
"RP11-242D8.1"	3.2305710920398e-32	0.27437096835093	0.11	0.026	1.26460705397898e-27	"17"	"RP11-242D8.1"
"HLA-DQA23"	3.36433399943669e-32	0.320004429254474	0.564	0.294	1.31696854407949e-27	"17"	"HLA-DQA2"
"MECR"	3.93759856972166e-32	0.287153796685703	0.137	0.037	1.54137296011755e-27	"17"	"MECR"
"MYEOV21"	4.30049585221854e-32	0.333471799033705	0.77	0.426	1.68342910135095e-27	"17"	"MYEOV2"
"GSTM11"	5.81646985838432e-32	0.436392553261714	0.262	0.1	2.27685712606454e-27	"17"	"GSTM1"
"HLA-F5"	6.26709866181159e-32	0.351506182152291	0.875	0.571	2.45325577116615e-27	"17"	"HLA-F"
"SSR35"	6.83022981034226e-32	0.313228085388454	0.72	0.366	2.67369345925848e-27	"17"	"SSR3"
"C5orf42"	7.15560279808924e-32	0.38740486406308	0.128	0.034	2.80106071531203e-27	"17"	"C5orf42"
"RBMX"	7.29910561317505e-32	0.324017787629929	0.843	0.521	2.85723489227737e-27	"17"	"RBMX"
"EIF5A1"	8.09894851003605e-32	0.381289876977896	0.843	0.531	3.17033339425361e-27	"17"	"EIF5A"
"PTBP3"	1.28470415827403e-31	0.274942547392152	0.62	0.304	5.02897442756369e-27	"17"	"PTBP3"
"NDUFS74"	1.53355821033058e-31	0.307735996734424	0.77	0.424	6.00311361433905e-27	"17"	"NDUFS7"
"VCP3"	1.61780118638552e-31	0.318670234203552	0.774	0.438	6.33288274410611e-27	"17"	"VCP"
"THEMIS7"	2.05544242627127e-31	0.282549793857902	0.331	0.134	8.04602937763887e-27	"17"	"THEMIS"
"PPP2R2B4"	2.07971868042591e-31	0.379215444565324	0.201	0.066	8.14105877452722e-27	"17"	"PPP2R2B"
