""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"SLC2A15"	1.2215056334385e-37	1.12635253345103	0.214	0.029	4.78158380209502e-33	"16"	"SLC2A1"
"REPIN11"	1.32547584922155e-37	1.28152701183233	0.448	0.116	5.18857521177776e-33	"16"	"REPIN1"
"CIRBP1"	1.54300991803504e-37	0.78345246138145	0.959	0.782	6.04011232414817e-33	"16"	"CIRBP"
"ZNF104"	2.11786845962226e-37	1.33434559029307	0.352	0.075	8.29039608519135e-33	"16"	"ZNF10"
"PPIA2"	3.42848251744496e-37	0.558544196379392	1	0.925	1.34207948145383e-32	"16"	"PPIA"
"MAP4K13"	3.48965269841786e-37	1.19731961863655	0.476	0.132	1.36602454879567e-32	"16"	"MAP4K1"
"RECQL5"	4.41133192358038e-37	1.24851319317285	0.262	0.043	1.72681588148554e-32	"16"	"RECQL5"
"UNC93B12"	8.50122044674897e-37	1.20299106237143	0.71	0.295	3.32780274387988e-32	"16"	"UNC93B1"
"IFNLR1"	2.00865591715437e-36	1.05525946441658	0.166	0.018	7.86288358770077e-32	"16"	"IFNLR1"
"N4BP23"	2.38630317698633e-36	1.29689253089446	0.421	0.107	9.34118378631298e-32	"16"	"N4BP2"
"LDHB4"	2.61970107208593e-36	0.677691002672588	0.917	0.563	1.02548198466804e-31	"16"	"LDHB"
"RPL111"	3.42992801988432e-36	0.391097570129416	1	0.974	1.34264532338372e-31	"16"	"RPL11"
"ZDHHC41"	3.97251453807023e-36	1.14421100282337	0.517	0.157	1.55504081592759e-31	"16"	"ZDHHC4"
"PRMT7"	8.55546935633746e-36	1.13835906768336	0.276	0.048	3.3490384795383e-31	"16"	"PRMT7"
"EIF4A34"	8.66888444186198e-36	0.915699841569329	0.807	0.368	3.39343481476687e-31	"16"	"EIF4A3"
"GLCE"	9.04088499331011e-36	1.03405762622362	0.324	0.064	3.53905443063124e-31	"16"	"GLCE"
"SERPINF23"	1.08787706341274e-35	1.06970907613043	0.379	0.088	4.25849476472918e-31	"16"	"SERPINF2"
"RPS22"	1.33759359124738e-35	0.465483125215399	1	0.966	5.23601011293787e-31	"16"	"RPS2"
"RRBP11"	3.13505488668144e-35	1.32682699095747	0.648	0.28	1.22721723539145e-30	"16"	"RRBP1"
"INPP4A1"	4.60124046387553e-35	1.18310002705032	0.441	0.118	1.80115557958408e-30	"16"	"INPP4A"
"TRAM11"	5.26933418117096e-35	1.10263116924054	0.834	0.473	2.06268086521937e-30	"16"	"TRAM1"
"KRI1"	8.62139204796597e-35	1.12894520471882	0.359	0.08	3.37484391717628e-30	"16"	"KRI1"
"FMNL34"	8.65402491325981e-35	1.26452931342688	0.386	0.094	3.38761805229555e-30	"16"	"FMNL3"
"GGA22"	9.70779730550867e-35	1.16420954637482	0.572	0.198	3.80011725524137e-30	"16"	"GGA2"
"OCIAD23"	1.19000413578524e-34	0.537486610301327	0.428	0.105	4.65827118953134e-30	"16"	"OCIAD2"
"RPS6KA21"	3.53271242526723e-34	1.1454951800823	0.221	0.033	1.38288027887086e-29	"16"	"RPS6KA2"
"RPS253"	3.60864374318404e-34	0.448732697365222	1	0.957	1.41260359326939e-29	"16"	"RPS25"
"SEC11C1"	7.16519824542564e-34	0.880348427543601	0.71	0.302	2.80481685317187e-29	"16"	"SEC11C"
"DPP41"	7.34842748433658e-34	0.946345214569797	0.159	0.018	2.87654193874355e-29	"16"	"DPP4"
"RPL373"	8.76605812432496e-34	0.457930035158394	1	0.969	3.43147345276701e-29	"16"	"RPL37"
"SIVA1"	9.49207060009924e-34	1.10935728786264	0.793	0.469	3.71567103640885e-29	"16"	"SIVA1"
"RPS141"	1.00679453543951e-33	0.364446521635861	1	0.973	3.94109720897796e-29	"16"	"RPS14"
"SCRN12"	1.15653721317574e-33	1.25377777846468	0.352	0.08	4.52726492097643e-29	"16"	"SCRN1"
"RPL131"	1.4555767788584e-33	0.366973094071819	1	0.982	5.69785530084121e-29	"16"	"RPL13"
"DSN1"	1.55390372711904e-33	1.17865282091224	0.241	0.041	6.08275613980748e-29	"16"	"DSN1"
"P4HB1"	1.6287380289843e-33	0.910665932483418	0.91	0.6	6.37569501445902e-29	"16"	"P4HB"
"BIN15"	2.76333780745822e-33	1.14401231799619	0.503	0.157	1.08170858472952e-28	"16"	"BIN1"
"EIF2AK43"	3.00254874151221e-33	1.11231813809567	0.621	0.233	1.17534770486495e-28	"16"	"EIF2AK4"
"LINC00909"	3.41539810229399e-33	1.06825402226595	0.297	0.058	1.33695758714298e-28	"16"	"LINC00909"
"RNASE64"	3.71824041004482e-33	0.823640132847652	0.917	0.476	1.45550520851204e-28	"16"	"RNASE6"
"PPP6R1"	1.15637178353537e-32	1.10963257148713	0.517	0.165	4.5266173466492e-28	"16"	"PPP6R1"
