""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"RCOR3"	0.002447062950567	0.433802960916236	0.091	0.177	1	"13"	"RCOR3"
"SUPT7L"	0.00245384059408921	0.328008717730789	0.102	0.194	1	"13"	"SUPT7L"
"PARP14"	0.00245608779247365	1.17736939914381	0.338	0.341	1	"13"	"PARP14"
"TBC1D7"	0.00246083548992629	0.538972230583602	0.16	0.289	1	"13"	"TBC1D7"
"RP11-758H9.2"	0.00246294170304362	1.37984562770988	0.193	0.147	1	"13"	"RP11-758H9.2"
"BDH2"	0.00247084060159517	0.313648941368046	0.065	0.138	1	"13"	"BDH2"
"APTX"	0.00247468492608751	0.407339615782951	0.098	0.189	1	"13"	"APTX"
"ZNF326"	0.0024758224289529	0.396818810389205	0.12	0.223	1	"13"	"ZNF326"
"GCC2"	0.00248423493206321	0.572439124567861	0.225	0.398	1	"13"	"GCC2"
"MIR222HG"	0.00250866001105535	1.33824463029037	0.185	0.141	1	"13"	"MIR222HG"
"LY75"	0.00251542182129268	0.289557254197968	0.055	0.122	1	"13"	"LY75"
"ATF7IP2"	0.00252303619153917	0.393533291163659	0.164	0.282	1	"13"	"ATF7IP2"
"LDLRAD41"	0.00252933320136995	1.04706658574654	0.324	0.318	1	"13"	"LDLRAD4"
"ARF4"	0.002584093921125	0.374127318064322	0.393	0.68	1	"13"	"ARF4"
"CPNE8"	0.00258532933523169	0.27463296811885	0.087	0.171	1	"13"	"CPNE8"
"VGLL4"	0.00260323978513581	0.39963698929875	0.069	0.144	1	"13"	"VGLL4"
"GDAP2"	0.00264171009749448	0.294364701376296	0.076	0.154	1	"13"	"GDAP2"
"DBF41"	0.00264243465312844	0.4058158691415	0.08	0.161	1	"13"	"DBF4"
"RPS6KA31"	0.00266176092299755	0.409313210813964	0.178	0.316	1	"13"	"RPS6KA3"
"ARMCX3"	0.00266442040393777	0.551198893474072	0.182	0.321	1	"13"	"ARMCX3"
"PYROXD1"	0.00267557030434355	0.336836982419738	0.055	0.121	1	"13"	"PYROXD1"
"RNF115"	0.00268105306300113	0.962367178915382	0.153	0.278	1	"13"	"RNF115"
"SEMA6B1"	0.00272577519529638	0.43536968222251	0.058	0.126	1	"13"	"SEMA6B"
"PTGS21"	0.00272979628965454	0.342354114319433	0.182	0.304	1	"13"	"PTGS2"
"OSBPL1A1"	0.00279194079318788	0.399330555002161	0.109	0.204	1	"13"	"OSBPL1A"
"SLC12A6"	0.00281704078926311	0.359890090228246	0.076	0.154	1	"13"	"SLC12A6"
"GPANK1"	0.00284745689212686	0.327520457423659	0.069	0.142	1	"13"	"GPANK1"
"NIN"	0.00284769455405311	0.360194438867224	0.182	0.319	1	"13"	"NIN"
"ARHGAP10"	0.002882170549407	0.344225238940317	0.047	0.11	1	"13"	"ARHGAP10"
"TBC1D9"	0.00292804709912524	0.256876831524484	0.095	0.181	1	"13"	"TBC1D9"
"RC3H2"	0.00293972358942809	0.325762499953552	0.087	0.17	1	"13"	"RC3H2"
