"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0.000361154287163237	0.345615784565845	0.007	0	1	"13"	"LINC00551"
0.000361154287163237	0.32490766653223	0.007	0	1	"13"	"HSF5"
0.000361154287163237	0.306355839624312	0.007	0	1	"13"	"FAM153A"
0.000361154287163237	0.287785810366126	0.007	0	1	"13"	"MAGEE1"
0.000361154287163237	0.287489770695069	0.007	0	1	"13"	"SOX5"
0.000361154287163237	0.225076105501098	0.007	0	1	"13"	"AL022238.2"
0.000361154287163237	0.220960492855423	0.007	0	1	"13"	"CTD-2213F21.3"
0.000361154287163237	0.203678520130029	0.007	0	1	"13"	"AC012360.4"
0.000361154287163237	0.175952584427743	0.007	0	1	"13"	"RP11-336K24.12"
0.000361154287163237	0.173803725210703	0.007	0	1	"13"	"KLKB1"
0.000361154287163237	0.157786694659712	0.007	0	1	"13"	"RP11-611O2.1"
0.000361154287163237	0.155164672811979	0.007	0	1	"13"	"RP11-1246C19.1"
0.000361154287163237	0.13092111269159	0.007	0	1	"13"	"TGFB2-AS1"
0.000361154287163237	0.127109868017388	0.007	0	1	"13"	"RP11-484K9.4"
0.000361154287163237	0.126264307966892	0.007	0	1	"13"	"RP11-298I3.1"
0.000362292486831362	0.047713227391363	0.051	0.131	1	"13"	"SPRYD3"
0.000363906500401745	0.138198326351466	0.04	0.114	1	"13"	"PBXIP1"
0.000364740777623923	0.407003264198066	0.007	0	1	"13"	"TRBV4-2"
0.000364740777623923	0.29783699583174	0.007	0	1	"13"	"NECTIN3"
0.000364810308673837	0.0445439198104027	0.062	0.148	1	"13"	"KLF11"
0.000366754752956134	0.422437608142865	0.105	0.219	1	"13"	"NEK9"
0.00036772603384513	0.378398255781343	0.08	0.177	1	"13"	"NXPE3"
0.000369729491993396	0.272703114707991	0.138	0.27	1	"13"	"ARFGAP2"
0.000370339228304008	0.194616355964501	0.036	0.108	1	"13"	"MB21D2"
0.000371756934122512	0.345292602303742	0.033	0.102	1	"13"	"TSEN54"
0.000373180908561247	0.246561454040115	0.131	0.256	1	"13"	"AP3D1"
0.000373752770788672	0.120055717060605	0.058	0.143	1	"13"	"ABCF3"
0.000375332556938757	0.0989526307431106	0.051	0.131	1	"13"	"DCLRE1C"
0.000378786185306235	0.0939749316576359	0.011	0.065	1	"13"	"CENPBD1"
0.000379346003348892	0.151762771101439	0.415	0.697	1	"13"	"YPEL5"
0.000380941587685254	0.0226043584895717	0.022	0.084	1	"13"	"ZNF3"
0.000386424047485563	0.124698138068992	0.044	0.119	1	"13"	"FAM126A"
0.000389663638218494	0.377509181009468	0.105	0.217	1	"13"	"PML"
0.000390341688324908	0.0514820164005938	0.033	0.102	1	"13"	"CCDC106"
0.000390360585674644	0.188167829459115	0.058	0.142	1	"13"	"R3HDM2"
0.000390440753949323	0.325706986147182	0.2	0.37	1	"13"	"ZNF267"
0.000390596683015956	0.0362252164723531	0.029	0.095	1	"13"	"HLX"
0.000396341152880207	0.229932952081519	0.04	0.114	1	"13"	"LINC01184"
0.000400201609304493	0.354436726368693	0.098	0.207	1	"13"	"GPR132"
0.000401556206199663	0.25800419724899	0.127	0.251	1	"13"	"IREB2"
0.000404529434882221	0.402884450044921	0.207	0.386	1	"13"	"KIAA1551"
0.000405664685425168	0.237812454957271	0.116	0.234	1	"13"	"LIMK1"
0.00040784995633768	0.388109140981062	0.196	0.368	1	"13"	"UBE3A"
0.000409311264079323	0.680859382479075	0.589	0.725	1	"13"	"JUND"
0.000409816192150456	0.185048003971379	0.131	0.256	1	"13"	"WDR82"
0.000410121554582664	0.240719405239187	0.116	0.234	1	"13"	"MICU2"
0.000411115422451111	0.322300208754678	0.178	0.336	1	"13"	"AP3B1"
0.00041284258034086	0.152066033148962	0.105	0.215	1	"13"	"SBNO1"
0.000413866237748637	0.0853287598791352	0.033	0.101	1	"13"	"WDR12"
0.000414745617365628	0.307514107216023	0.069	0.16	1	"13"	"DDX52"
0.000418013254862865	1.02289039872067	0.015	0.002	1	"13"	"CAVIN1"
0.000418013254862865	0.880730797668386	0.015	0.002	1	"13"	"FAM107A"
0.000418013254862865	0.771325893604727	0.015	0.002	1	"13"	"PDGFD"
0.00041818214564162	0.0509521066808338	0.036	0.107	1	"13"	"DHRS12"
0.000418327596234893	0.0652084693238868	0.055	0.136	1	"13"	"ERCC3"
0.000419412186326043	0.207017693246467	0.265	0.477	1	"13"	"TMEM165"
0.00042026297895083	0.271966296892216	0.015	0.002	1	"13"	"LYPLAL1-AS1"
0.000420487031831329	0.20613795802855	0.033	0.101	1	"13"	"NARS2"
0.000422034303774733	0.224500079123679	0.058	0.142	1	"13"	"FAHD2A"
0.000422334720422299	0.0336428263589681	0.076	0.17	1	"13"	"TRIOBP"
0.000423285695678423	0.154488719097137	0.076	0.17	1	"13"	"ACAT2"
0.000424866291022183	0.575031040872319	0.102	0.211	1	"13"	"BSDC1"
0.00042518204688804	0.218337178207095	0.102	0.211	1	"13"	"CHD1L"
0.000426241101553749	0.078793801946359	0.095	0.198	1	"13"	"NSUN5"
0.000429347223342682	0.109142564069527	0.091	0.193	1	"13"	"IP6K2"
0.000429954998968717	0.140841364400432	0.069	0.158	1	"13"	"PRKRIP1"
0.000429982480772609	0.0457214694480912	0.029	0.095	1	"13"	"RNF8"
0.00043083943987807	0.465156133567116	0.175	0.326	1	"13"	"ARID4A"
0.000432477945619669	0.110346931010812	0.029	0.095	1	"13"	"SQLE"
0.000435901880921227	0.148817309281625	0.08	0.176	1	"13"	"KDM7A"
0.000438700817867055	0.198671883954644	0.036	0.107	1	"13"	"DIS3L"
